Time,Product name,PID,robotMAC,Store,Start running time,unbound,Operating time (h),Running mileage (km),Number of tasks
2022-12-31,bellabot,SV1000213954003,20:50:E7:02:87:DA,Soft-servis,2022-12-31 16:28:39,false,0.02,0.02,2
2022-12-31,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,Soft-Stend,2022-12-31 00:24:23,false,0.09,0.04,4
2022-12-31,bellabot,620019270070278,20:50:E7:02:FD:68,Perchini,2022-12-31 09:13:46,false,0.27,0.34,17
2022-12-31,kettybot,PNT102213716164,20:50:E7:23:69:5C,Parmesan,2022-12-31 14:18:31,false,0.19,0.19,18
2022-12-31,kettybot,PNT102213716158,20:50:E7:02:12:A8,Baltiya Hotel,2022-12-30 22:28:53,false,3.02,0.03,11
2022-12-31,bellabot,620019240060415,20:50:E7:02:24:2A,Parmesan,2022-12-30 23:05:47,false,1.40,0.60,35
2022-12-31,bellabot,sv1000214017014,20:50:E7:02:EB:0A,Фанджамп Екатеринбург,2022-12-31 10:55:38,false,0.57,0.71,13
2022-12-31,bellabot,SV1000214017001,20:50:E7:02:7F:10,Динозаврия,2022-12-31 06:30:06,false,1.00,0.62,22
2022-12-31,bellabot,SV1000211931009,D4:12:43:B0:F9:56,Gastreet_panorama,2022-12-31 16:24:08,false,0.10,0.03,6
2022-12-31,bellabot,Sv1000214017008,20:50:E7:23:83:6A,Parmesan,2022-12-30 21:00:12,false,3.50,1.47,64
2022-12-31,bellabot,SV1001205116386,D4:12:43:BF:63:8E,Firemakers,2022-12-30 23:47:48,false,0.70,0.84,52
2022-12-31,bellabot,620015050070163,D4:12:43:B1:02:2C,Gastreet_panorama,2022-12-31 03:53:27,false,0.61,0.78,20
2022-12-31,bellabot,SV1114223233002,20:50:E7:02:C0:F2,Soft-servis,2022-12-31 11:26:24,false,0.06,0.04,3
2022-12-31,bellabot,sv1000213943015,20:50:E7:23:95:7C,Fun Jump Kazan,2022-12-31 11:20:56,false,0.15,0.10,12
2022-12-31,bellabot,SV1000214017015,20:50:E7:02:E4:50,Fun Jump,2022-12-31 11:23:21,false,0.11,0.08,9
2022-12-31,bellabot,SV1000212652005,20:50:E7:23:B4:80,Sber Univercity,2022-12-31 17:08:16,false,3.36,0.13,8
