Active Rank,Store name,Creation time,Active Robot,Bind the robot,Run time(h),Running Mileage(km),Number of tasks
1,Компот,2022-04-20 05:52:08,2,1,40.05,29.55,2962
2,Sber Univercity,2022-01-14 05:23:26,1,1,172.72,27.61,1564
3,Fun Jump,2022-02-02 11:07:07,1,1,47.80,49.48,1723
4,Parmesan,2022-01-17 06:47:02,3,3,137.14,96.93,3970
5,Санаторий Заполярье,2022-07-07 07:05:58,3,3,127.37,74.39,437
6,Фанджамп Екатеринбург,2022-04-19 06:50:34,1,1,38.49,45.42,1026
7,Firemakers,2021-11-16 17:18:24,1,1,37.52,39.97,2732
8,Baltiya Hotel,2022-02-03 06:23:56,1,1,31.08,0.03,27
9,Fun Jump Kazan,2022-08-04 05:46:05,1,1,29.13,17.89,978
10,SMS,2022-10-28 07:58:44,1,1,29.02,49.09,65
11,Neo,2021-11-25 12:08:03,1,1,25.97,16.63,1749
12,Perchini,2021-12-15 21:51:40,1,1,20.92,21.79,1171
13,Динозаврия,2022-09-05 02:07:21,2,2,34.24,21.56,914
14,Ресторан ГрильХаус,2022-08-10 02:42:54,1,1,14.92,10.77,764
15,Jango Park,2021-12-27 09:45:59,1,1,9.85,8.96,273
16,АРТ-Премиум,2022-06-10 05:40:41,1,1,4.58,2.85,244
17,Чайхана PLOV,2022-03-05 05:35:17,1,1,3.57,2.99,121
18,Chajhana hariba,2022-02-06 07:59:47,1,1,1.43,3.17,23
19,Velich,2021-12-08 16:42:06,1,1,0.43,0.39,31
20,Gastreet_panorama,2021-05-31 15:00:41,4,5,57.69,60.61,1706
21,Soft-servis,2021-02-05 18:00:44,7,11,113.31,133.34,4125
22,Soft-Stend,2022-10-05 06:35:29,2,6,34.38,21.92,2189
23,Flagman office,2021-09-30 17:54:31,1,3,4.20,4.34,239
24,Fun-Day,2022-12-30 10:46:27,0,0,0.00,0.00,0
25,Агрокомплекс,2022-10-16 10:38:02,0,2,0.00,0.00,0
26,Грильвет,2022-10-16 10:27:16,0,0,0.00,0.00,0
27,АРТ-Премиум,2022-06-10 04:46:25,0,0,0.00,0.00,0
28,Shtof,2021-12-08 16:02:44,0,1,0.00,0.00,0
