Time,Store name,Product name,PID,robotMAC,Activated on,unbound,Running Mileage(km),Runtime(h),Number of delivery tables,Number of plates delivered
23:00,Чайхана PLOV,bellabot,sv1000213943034,20:50:E7:23:56:70,2022-03-05 05:38:04,false,0.04,0.04,1,1
23:00,Sber Univercity,bellabot,SV1000212652005,20:50:E7:23:B4:80,2022-01-14 05:58:35,false,0.04,0.53,1,1
22:00,Чайхана PLOV,bellabot,sv1000213943034,20:50:E7:23:56:70,2022-03-05 05:38:04,false,0.11,0.11,4,4
22:00,Soft-servis,bellabot,SV1000213954003,20:50:E7:02:87:DA,2022-04-25 05:25:47,false,0.05,0.04,2,2
22:00,Gastreet_panorama,bellabot,SV1000211931012,D4:12:43:B0:D5:68,2021-05-30 16:00:00,false,0.00,0.00,1,2
21:00,Чайхана PLOV,bellabot,sv1000213943034,20:50:E7:23:56:70,2022-03-05 05:38:04,false,0.04,0.04,2,2
21:00,Soft-servis,bellabot,SV1000213954003,20:50:E7:02:87:DA,2022-04-25 05:25:47,false,0.02,0.02,1,1
21:00,Fun Jump Kazan,bellabot,sv1000213943015,20:50:E7:23:95:7C,2022-08-04 05:52:44,false,0.17,0.20,7,7
20:00,Ресторан ГрильХаус,bellabot,SV1000213954014,20:50:E7:23:71:74,2022-08-10 02:48:17,false,0.06,0.06,3,3
20:00,Фанджамп Екатеринбург,bellabot,sv1000214017014,20:50:E7:02:EB:0A,2022-04-19 06:53:38,false,0.06,0.05,1,1
20:00,Fun Jump,bellabot,SV1000214017015,20:50:E7:02:E4:50,2022-02-02 11:11:06,false,0.26,0.27,6,6
20:00,Soft-Stend,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,2022-10-05 08:05:24,false,0.03,0.07,6,6
20:00,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.02,0.04,3,3
20:00,Soft-servis,bellabot,SV1000213954003,20:50:E7:02:87:DA,2022-04-25 05:25:47,false,0.13,0.10,4,4
20:00,Parmesan,bellabot,Sv1000214017008,20:50:E7:23:83:6A,2022-01-17 06:49:56,false,0.10,0.13,5,5
20:00,Firemakers,bellabot,SV1001205116386,D4:12:43:BF:63:8E,2021-11-22 09:15:51,false,0.15,0.17,20,20
20:00,Parmesan,bellabot,620019240060415,20:50:E7:02:24:2A,2022-01-21 06:58:37,false,0.06,0.10,6,6
20:00,Компот,bellabot,sv1000214017022,20:50:E7:02:EB:56,2022-04-26 23:06:13,false,0.17,0.25,23,23
20:00,Fun Jump Kazan,bellabot,sv1000213943015,20:50:E7:23:95:7C,2022-08-04 05:52:44,false,0.18,0.16,6,6
19:00,Jango Park,bellabot,SV1000214017031,20:50:E7:03:06:3A,2021-12-30 08:37:16,false,0.06,0.06,2,2
19:00,Gastreet_panorama,bellabot,SV1000211931009,D4:12:43:B0:F9:56,2021-05-31 16:00:00,false,0.03,0.08,1,1
19:00,Компот,bellabot,sv1000214017022,20:50:E7:02:EB:56,2022-04-26 23:06:13,false,0.04,0.06,5,5
19:00,Фанджамп Екатеринбург,bellabot,sv1000214017014,20:50:E7:02:EB:0A,2022-04-19 06:53:38,false,0.23,0.21,6,7
19:00,Soft-servis,bellabot,SV1000213954003,20:50:E7:02:87:DA,2022-04-25 05:25:47,false,0.05,0.04,2,2
19:00,Fun Jump,bellabot,SV1000214017015,20:50:E7:02:E4:50,2022-02-02 11:11:06,false,0.13,0.17,4,4
19:00,Parmesan,bellabot,Sv1000214017008,20:50:E7:23:83:6A,2022-01-17 06:49:56,false,0.13,0.15,7,7
19:00,Firemakers,bellabot,SV1001205116386,D4:12:43:BF:63:8E,2021-11-22 09:15:51,false,0.14,0.17,19,19
19:00,Soft-Stend,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,2022-10-05 08:05:24,false,0.02,0.05,2,2
19:00,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.02,0.04,3,3
19:00,Parmesan,bellabot,620019240060415,20:50:E7:02:24:2A,2022-01-21 06:58:37,false,0.02,0.02,2,2
18:00,Parmesan,bellabot,Sv1000214017008,20:50:E7:23:83:6A,2022-01-17 06:49:56,false,0.07,0.10,6,6
18:00,Gastreet_panorama,bellabot,SV1000211931009,D4:12:43:B0:F9:56,2021-05-31 16:00:00,false,0.03,0.02,1,1
18:00,Fun Jump,bellabot,SV1000214017015,20:50:E7:02:E4:50,2022-02-02 11:11:06,false,0.07,0.12,3,3
18:00,Фанджамп Екатеринбург,bellabot,sv1000214017014,20:50:E7:02:EB:0A,2022-04-19 06:53:38,false,0.16,0.12,4,4
18:00,Компот,bellabot,sv1000214017022,20:50:E7:02:EB:56,2022-04-26 23:06:13,false,0.13,0.24,19,19
18:00,Firemakers,bellabot,SV1001205116386,D4:12:43:BF:63:8E,2021-11-22 09:15:51,false,0.13,0.18,15,15
18:00,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.04,0.07,6,6
18:00,Parmesan,bellabot,620019240060415,20:50:E7:02:24:2A,2022-01-21 06:58:37,false,0.07,0.08,5,5
17:00,Soft-servis,bellabot,SV1000212910001,20:50:E7:23:3D:AA,2021-09-14 10:48:45,false,0.02,0.02,2,2
17:00,Parmesan,bellabot,Sv1000214017008,20:50:E7:23:83:6A,2022-01-17 06:49:56,false,0.10,0.11,5,5
17:00,Gastreet_panorama,bellabot,620015050070163,D4:12:43:B1:02:2C,2021-05-30 16:00:00,false,0.07,0.07,3,3
17:00,Parmesan,bellabot,620019240060415,20:50:E7:02:24:2A,2022-01-21 06:58:37,false,0.03,0.02,1,1
17:00,Soft-Stend,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,2022-10-05 08:05:24,false,0.03,0.05,3,3
17:00,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.02,0.02,2,2
17:00,Gastreet_panorama,bellabot,SV1000211931009,D4:12:43:B0:F9:56,2021-05-31 16:00:00,false,0.05,0.08,2,2
17:00,Soft-Stend,bellabot,sv1114223233003,20:50:E7:39:7C:16,2022-10-05 07:15:36,false,0.15,0.32,3,3
17:00,Компот,bellabot,sv1000214017022,20:50:E7:02:EB:56,2022-04-26 23:06:13,false,0.10,0.16,11,11
17:00,Fun Jump Kazan,bellabot,sv1000213943015,20:50:E7:23:95:7C,2022-08-04 05:52:44,false,0.05,0.04,1,1
17:00,Firemakers,bellabot,SV1001205116386,D4:12:43:BF:63:8E,2021-11-22 09:15:51,false,0.05,0.04,6,6
17:00,Perchini,bellabot,620019270070278,20:50:E7:02:FD:68,2021-12-15 21:57:50,false,0.04,0.03,2,2
