Time,Product name,PID,robotMAC,Store,Start running time,unbound,Operating time (h),Running mileage (km),Number of tasks
2023-03-31,bellabot,SV1000213954014,20:50:E7:23:71:74,Ресторан ГрильХаус,2023-03-31 10:55:11,false,0.58,0.61,42
2023-03-31,bellabot,620019270070278,20:50:E7:02:FD:68,Perchini,2023-03-31 05:25:38,false,1.07,1.16,55
2023-03-31,bellabot,SV1000212910001,20:50:E7:23:3D:AA,Soft-servis,2023-03-31 05:14:35,false,1.26,1.22,122
2023-03-31,bellabot,SV1114223233002,20:50:E7:02:C0:F2,Soft-servis,2023-03-31 03:28:59,false,3.02,3.09,58
2023-03-31,bellabot,SV1000211931012,D4:12:43:B0:D5:68,Gastreet_panorama,2023-03-31 00:08:36,false,0.36,0.25,11
2023-03-31,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,Soft-Stend,2023-03-30 18:38:29,false,5.86,0.55,83
2023-03-31,bellabot,SV1000214017031,20:50:E7:03:06:3A,Jango Park,2023-03-31 14:55:45,false,0.57,0.56,20
2023-03-31,bellabot,sv1000213943015,20:50:E7:23:95:7C,Fun Jump Kazan,2023-03-31 10:20:38,false,1.16,1.23,37
2023-03-31,bellabot,sv1114223233003,20:50:E7:39:7C:16,Soft-Stend,2023-03-31 03:33:33,false,1.94,2.10,70
2023-03-31,bellabot,SV1000211931010,D4:12:43:B0:E7:9A,Velich,2023-03-31 15:28:43,false,0.02,0.02,2
2023-03-31,bellabot,620019240060415,20:50:E7:02:24:2A,Parmesan,2023-03-30 21:07:08,false,3.38,1.58,121
2023-03-31,bellabot,620015050070163,D4:12:43:B1:02:2C,Gastreet_panorama,2023-03-31 03:40:22,false,2.83,2.66,63
2023-03-31,bellabot,SV1000213954003,20:50:E7:02:87:DA,Soft-servis,2023-03-31 00:47:11,false,0.71,0.47,33
2023-03-31,bellabot,sv1000213943034,20:50:E7:23:56:70,Чайхана PLOV,2023-03-31 19:26:38,false,0.06,0.04,4
2023-03-31,bellabot,SV1000214017013,20:50:E7:02:BF:E8,АРТ-Премиум,2023-03-31 15:21:47,false,0.14,0.14,18
2023-03-31,bellabot,sv1000214017022,20:50:E7:02:EB:56,Компот,2023-03-31 08:35:21,false,1.91,1.49,150
2023-03-31,bellabot,SV1000214017015,20:50:E7:02:E4:50,Fun Jump,2023-03-31 12:42:39,false,1.79,2.10,62
2023-03-31,bellabot,SV1000213954014,20:50:E7:23:71:74,Ресторан ГрильХаус,2023-03-31 21:27:46,false,0.04,0.07,4
2023-03-31,bellabot,SV1000212641025,D4:12:43:C3:D0:88,Chajhana hariba,2023-03-31 06:45:16,false,0.75,1.72,14
2023-03-31,bellabot,SV1000212652005,20:50:E7:23:B4:80,Sber Univercity,2023-03-30 19:35:15,false,4.91,0.69,36
2023-03-31,kettybot,PNT102213716159,20:50:E7:23:96:70,Динозаврия,2023-03-31 12:29:47,false,0.00,0.00,1
2023-03-31,bellabot,SV1000212910013,20:50:E7:23:79:E8,Flagman office,2023-03-31 15:27:09,false,0.05,0.05,2
2023-03-31,pudubot,PD9152212113001,D4:12:43:C4:A3:AA,Gastreet_panorama,2023-03-31 09:23:51,false,0.10,0.05,4
2023-03-31,bellabot,SV1000214017033,20:50:E7:02:FD:36,Soft-servis,2023-03-31 08:17:52,false,1.20,1.73,22
