Time,Store name,Product name,PID,robotMAC,Activated on,unbound,Running Mileage(km),Runtime(h),Interactive Visits,Interaction time(h)
2023-03-31,Chajhana hariba,bellabot,SV1000212641025,D4:12:43:C3:D0:88,2022-02-06 22:49:35,false,1.66,0.66,0,0.00
2023-03-31,Sber Univercity,bellabot,SV1000212652005,20:50:E7:23:B4:80,2022-01-14 05:58:35,false,0.04,0.06,0,0.00
2023-03-31,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,1.70,1.16,0,0.00
2023-03-30,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.25,0.17,0,0.00
2023-03-30,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.15,0.09,0,0.00
2023-03-29,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.33,0.23,0,0.00
2023-03-29,Sber Univercity,bellabot,SV1000212652005,20:50:E7:23:B4:80,2022-01-14 05:58:35,false,0.00,0.01,0,0.00
2023-03-28,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.02,0.01,0,0.00
2023-03-28,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.88,0.63,0,0.00
2023-03-27,Parmesan,bellabot,Sv1000214017008,20:50:E7:23:83:6A,2022-01-17 06:49:56,false,0.00,0.00,0,0.00
2023-03-27,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.01,0.02,0,0.00
2023-03-26,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.15,0.10,0,0.00
2023-03-26,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,2.38,1.51,0,0.00
2023-03-26,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,1.06,0.69,0,0.00
2023-03-26,Chajhana hariba,bellabot,SV1000212641025,D4:12:43:C3:D0:88,2022-02-06 22:49:35,false,6.20,2.57,0,0.00
2023-03-25,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,1.30,0.90,0,0.00
2023-03-25,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,5.69,3.52,0,0.00
2023-03-24,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,2.36,1.52,0,0.00
