Time,Store name,Product name,PID,robotMAC,Activated on,unbound,Running Mileage(km),Runtime(h),Number of delivery tables,Number of plates delivered
2023-03-31,Динозаврия,bellabot,SV1000214017001,20:50:E7:02:7F:10,2022-09-05 02:10:39,false,0.54,1.07,49,49
2023-03-31,Фанджамп Екатеринбург,bellabot,sv1000214017014,20:50:E7:02:EB:0A,2022-04-19 06:53:38,false,1.91,1.52,42,47
2023-03-31,Fun Jump,bellabot,SV1000214017015,20:50:E7:02:E4:50,2022-02-02 11:11:06,false,0.99,0.95,34,34
2023-03-31,Velich,bellabot,SV1000211931010,D4:12:43:B0:E7:9A,2021-12-08 10:32:28,false,0.02,0.02,2,2
2023-03-31,Soft-servis,bellabot,SV1114223233002,20:50:E7:02:C0:F2,2022-11-25 16:38:23,false,2.75,2.73,51,51
2023-03-31,Perchini,bellabot,620019270070278,20:50:E7:02:FD:68,2021-12-15 21:57:50,false,1.02,0.96,47,47
2023-03-31,Flagman office,bellabot,SV1000212910013,20:50:E7:23:79:E8,2021-10-04 07:50:41,false,0.03,0.03,1,1
2023-03-31,Chajhana hariba,bellabot,SV1000212641025,D4:12:43:C3:D0:88,2022-02-06 22:49:35,false,0.04,0.05,2,2
2023-03-31,Parmesan,bellabot,620019240060415,20:50:E7:02:24:2A,2022-01-21 06:58:37,false,0.91,2.48,65,65
2023-03-31,Soft-servis,bellabot,SV1000212910001,20:50:E7:23:3D:AA,2021-09-14 10:48:45,false,0.62,0.77,74,64
2023-03-31,Soft-servis,bellabot,SV1000213954003,20:50:E7:02:87:DA,2022-04-25 05:25:47,false,0.35,0.61,23,25
2023-03-31,Gastreet_panorama,bellabot,SV1000211931012,D4:12:43:B0:D5:68,2021-05-30 16:00:00,false,0.02,0.15,1,1
2023-03-31,Sber Univercity,bellabot,SV1000212652005,20:50:E7:23:B4:80,2022-01-14 05:58:35,false,0.65,4.84,28,28
2023-03-31,Ресторан ГрильХаус,bellabot,SV1000213954014,20:50:E7:23:71:74,2022-08-10 02:48:17,false,0.33,0.43,26,23
2023-03-31,Soft-Stend,bellabot,sv1114223233003,20:50:E7:39:7C:16,2022-10-05 07:15:36,false,0.79,0.90,34,34
2023-03-31,Parmesan,bellabot,Sv1000214017008,20:50:E7:23:83:6A,2022-01-17 06:49:56,false,1.11,1.35,55,55
2023-03-31,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0.00,1,1
