Time,Store name,Product name,PID,robotMAC,Activated on,unbound,[Take me into the store] Number of clicks,[featured item] number of clicks,[Promotions] Clicks,[Escorting] Clicks,[Poster] Clicks,[Lead the way] Clicks,[Dance] Clicks,[Video Poster] Clicks
2023-03-29,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,1,1,0,0,0,7,0
2023-03-28,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,3,4,3,0,0,0,7,0
2023-03-27,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,5,3,2,0,2,0,19,0
2023-03-27,Деревенское Молочко,kettybot,PNT102213716168,20:50:E7:02:2E:30,2023-03-24 11:05:48,false,0,1,1,0,0,0,0,0
2023-03-26,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,1,0,0,0,0,0
2023-03-24,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,1,1,0,0,0,9,0
2023-03-23,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,0,1,0,0,0,0,0
2023-03-22,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,7,3,3,0,1,0,14,0
2023-03-21,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,0,0,1,0,1,0
2023-03-20,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,0,2,0,0,0,11,0
2023-03-19,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,1,0,0,0,4,0
2023-03-18,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,3,6,7,0,1,0,13,0
2023-03-17,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,3,1,0,0,1,0,17,0
2023-03-16,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,2,2,5,0,0,0,47,0
2023-03-15,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,0,0,0,0,2,0
2023-03-14,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,0,0,0,0,7,0
2023-03-13,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,0,0,0,0,4,0
2023-03-12,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,0,1,0,0,0,8,0
2023-03-11,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,4,0,3,0,0,0,8,0
2023-03-10,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,1,1,0,1,0,10,0
2023-03-09,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,1,2,0,2,0,9,0
2023-03-08,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,2,0,0,0,0,4,0
2023-03-06,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,0,0,0,0,4,0
2023-03-05,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,3,5,3,0,0,0,2,0
2023-03-04,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,3,1,0,0,0,3,0
2023-03-03,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,3,6,1,0,0,0,15,0
2023-03-02,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,1,1,0,1,0,3,0
2023-03-01,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,6,0,1,0,2,0
