Active Rank,Store name,Creation time,Active Robot,Bind the robot,Run time(h),Running Mileage(km),Number of tasks
1,Компот,2022-04-20 05:52:08,2,1,56.06,44.62,3451
2,Санаторий Заполярье,2022-07-07 07:05:58,3,3,637.64,220.36,785
3,Sber Univercity,2022-01-14 05:23:26,1,1,204.86,32.57,1904
4,Firemakers,2021-11-16 17:18:24,1,1,67.72,68.52,4683
5,SMS,2022-10-28 07:58:44,1,1,55.97,91.10,100
6,Parmesan,2022-01-17 06:47:02,3,3,149.68,107.63,5000
7,Fun Jump,2022-02-02 11:07:07,1,1,48.35,50.18,1384
8,Фанджамп Екатеринбург,2022-04-19 06:50:34,1,1,41.38,52.69,1213
9,Fun Jump Kazan,2022-08-04 05:46:05,1,1,38.11,21.33,1085
10,Динозаврия,2022-09-05 02:07:21,2,2,54.50,34.28,1621
11,Perchini,2021-12-15 21:51:40,1,1,24.50,26.02,1339
12,Jango Park,2021-12-27 09:45:59,1,1,12.39,10.53,358
13,Ресторан ГрильХаус,2022-08-10 02:42:54,1,1,11.83,13.98,790
14,АРТ-Премиум,2022-06-10 05:40:41,1,1,6.32,3.92,383
15,Чайхана PLOV,2022-03-05 05:35:17,1,1,6.09,5.79,218
16,Velich,2021-12-08 16:42:06,1,1,5.32,3.77,259
17,Chajhana hariba,2022-02-06 07:59:47,1,1,0.90,0.82,42
18,Gastreet_panorama,2021-05-31 15:00:41,4,5,75.87,76.71,2088
19,Soft-servis,2021-02-05 18:00:44,6,10,101.01,114.23,2562
20,Soft-Stend,2022-10-05 06:35:29,2,6,29.93,21.88,2580
21,Flagman office,2021-09-30 17:54:31,1,3,5.33,5.42,289
22,Агрокомплекс,2022-10-16 10:38:02,0,2,0.00,0.00,0
23,Грильвет,2022-10-16 10:27:16,0,0,0.00,0.00,0
24,АРТ-Премиум,2022-06-10 04:46:25,0,0,0.00,0.00,0
25,Baltiya Hotel,2022-02-03 06:23:56,0,1,0.00,0.00,0
26,Shtof,2021-12-08 16:02:44,0,1,0.00,0.00,0
27,Neo,2021-11-25 12:08:03,1,0,32.88,27.69,3278
