Time,Product name,PID,robotMAC,Store,Start running time,unbound,Operating time (h),Running mileage (km),Number of tasks
2023-02-28,bellabot,sv1000214017014,20:50:E7:02:EB:0A,Фанджамп Екатеринбург,2023-02-28 09:17:01,false,1.22,1.39,31
2023-02-28,kettybot,PNT102213716164,20:50:E7:23:69:5C,Parmesan,2023-02-28 11:21:40,false,3.14,0.55,41
2023-02-28,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,Soft-Stend,2023-02-27 23:56:01,false,0.57,0.19,37
2023-02-28,bellabot,620019240060415,20:50:E7:02:24:2A,Parmesan,2023-02-27 22:55:05,false,1.58,1.30,73
2023-02-28,bellabot,SV1000213954003,20:50:E7:02:87:DA,Soft-servis,2023-02-28 00:24:58,false,0.08,0.11,7
2023-02-28,bellabot,SV1001205116386,D4:12:43:BF:63:8E,Firemakers,2023-02-28 09:45:39,false,1.74,2.00,139
2023-02-28,bellabot,SV1000212652005,20:50:E7:23:B4:80,Sber Univercity,2023-02-28 05:48:06,false,5.70,0.62,20
2023-02-28,bellabot,sv1000214017022,20:50:E7:02:EB:56,Компот,2023-02-27 23:07:48,false,1.37,0.90,92
2023-02-28,bellabot,Sv1000214017008,20:50:E7:23:83:6A,Parmesan,2023-02-28 00:03:31,false,1.44,1.48,94
2023-02-28,bellabot,620015050070163,D4:12:43:B1:02:2C,Gastreet_panorama,2023-02-28 04:49:29,false,0.68,0.87,22
2023-02-28,bellabot,SV1000212910001,20:50:E7:23:3D:AA,Soft-servis,2023-02-28 06:34:03,false,0.93,0.81,83
2023-02-28,bellabot,SV1000214017015,20:50:E7:02:E4:50,Fun Jump,2023-02-28 21:14:18,false,0.26,0.18,16
2023-02-28,bellabot,sv1000213943015,20:50:E7:23:95:7C,Fun Jump Kazan,2023-02-28 12:05:16,false,0.41,0.30,17
2023-02-28,kettybot,PNT102213716158,20:50:E7:02:12:A8,Baltiya Hotel,2023-02-28 04:37:28,false,10.88,0.00,2
2023-02-28,bellabot,SV1000214017033,20:50:E7:02:FD:36,Soft-servis,2023-02-28 05:54:14,false,5.60,8.51,7
2023-02-28,bellabot,SV1114223233002,20:50:E7:02:C0:F2,Soft-servis,2023-02-28 07:35:13,false,0.91,0.85,23
2023-02-28,kettybot,PNT102213716170,20:50:E7:02:F3:3E,Neo,2023-02-28 10:06:02,false,0.40,0.26,32
2023-02-28,bellabot,SV1000214017034,20:50:E7:02:BE:0C,Soft-servis,2023-02-28 13:11:46,false,1.30,2.02,1
2023-02-28,bellabot,SV1000214017031,20:50:E7:03:06:3A,Jango Park,2023-02-28 16:01:22,false,0.48,0.41,22
2023-02-28,bellabot,SV1000212910013,20:50:E7:23:79:E8,Flagman office,2023-02-28 14:13:36,false,0.27,0.31,16
2023-02-28,kettybot,PNT102213716159,20:50:E7:23:96:70,Динозаврия,2023-02-28 07:27:13,false,0.05,0.01,4
2023-02-28,bellabot,SV1000213954014,20:50:E7:23:71:74,Ресторан ГрильХаус,2023-02-28 10:18:15,false,0.20,0.20,12
2023-02-28,bellabot,SV1000211931012,D4:12:43:B0:D5:68,Gastreet_panorama,2023-02-28 00:11:39,false,0.31,0.45,18
2023-02-28,bellabot,620019270070278,20:50:E7:02:FD:68,Perchini,2023-02-28 07:30:36,false,0.99,1.09,57
2023-02-28,bellabot,SV1000214017001,20:50:E7:02:7F:10,Динозаврия,2023-02-28 09:48:58,false,0.68,0.41,17
2023-02-28,bellabot,sv1114223233003,20:50:E7:39:7C:16,Soft-Stend,2023-02-28 03:46:45,false,0.72,0.79,39
2023-02-27,bellabot,SV1000214017015,20:50:E7:02:E4:50,Fun Jump,2023-02-27 14:22:19,false,1.13,0.97,24
2023-02-27,bellabot,SV1000211931012,D4:12:43:B0:D5:68,Gastreet_panorama,2023-02-27 01:20:20,false,0.16,0.19,11
2023-02-27,bellabot,Sv1000214017008,20:50:E7:23:83:6A,Parmesan,2023-02-26 21:34:58,false,2.92,1.25,75
2023-02-27,bellabot,sv1000213943015,20:50:E7:23:95:7C,Fun Jump Kazan,2023-02-27 11:41:36,false,0.81,0.56,23
2023-02-27,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,Soft-Stend,2023-02-27 10:45:54,false,0.73,0.28,52
2023-02-27,bellabot,SV1000212910001,20:50:E7:23:3D:AA,Soft-servis,2023-02-27 05:46:06,false,0.73,0.68,63
2023-02-27,kettybot,PNT102213716170,20:50:E7:02:F3:3E,Neo,2023-02-27 11:05:27,false,0.41,0.27,34
2023-02-27,bellabot,SV1000213954014,20:50:E7:23:71:74,Ресторан ГрильХаус,2023-02-27 10:12:51,false,0.29,0.36,23
2023-02-27,bellabot,sv1000214017014,20:50:E7:02:EB:0A,Фанджамп Екатеринбург,2023-02-27 09:52:14,false,0.63,0.91,18
2023-02-27,kettybot,PNT102213716158,20:50:E7:02:12:A8,Baltiya Hotel,2023-02-27 03:38:58,false,11.85,0.00,3
2023-02-27,bellabot,sv1000214017022,20:50:E7:02:EB:56,Компот,2023-02-26 23:14:45,false,1.25,0.94,87
2023-02-27,bellabot,sv1114223233003,20:50:E7:39:7C:16,Soft-Stend,2023-02-27 02:44:50,false,1.75,1.17,38
2023-02-27,bellabot,620015050070163,D4:12:43:B1:02:2C,Gastreet_panorama,2023-02-27 03:27:24,false,1.04,1.29,23
2023-02-27,kettybot,PNT102213716159,20:50:E7:23:96:70,Динозаврия,2023-02-27 10:27:38,false,0.04,0.01,4
2023-02-27,bellabot,620019240060415,20:50:E7:02:24:2A,Parmesan,2023-02-26 23:19:11,false,1.18,0.78,47
2023-02-27,bellabot,SV1001205116386,D4:12:43:BF:63:8E,Firemakers,2023-02-27 11:30:42,false,0.99,1.22,85
2023-02-27,bellabot,SV1000214017031,20:50:E7:03:06:3A,Jango Park,2023-02-27 18:14:59,false,0.25,0.23,9
2023-02-27,bellabot,SV1000213954003,20:50:E7:02:87:DA,Soft-servis,2023-02-26 23:56:48,false,0.55,0.33,28
2023-02-27,bellabot,620019270070278,20:50:E7:02:FD:68,Perchini,2023-02-27 06:38:57,false,0.85,0.91,48
2023-02-27,bellabot,SV1000214017034,20:50:E7:02:BE:0C,Soft-servis,2023-02-27 13:25:08,false,2.08,3.32,1
2023-02-27,bellabot,SV1000212910013,20:50:E7:23:79:E8,Flagman office,2023-02-27 15:16:05,false,0.23,0.26,15
2023-02-27,bellabot,SV1000214017001,20:50:E7:02:7F:10,Динозаврия,2023-02-27 10:46:11,false,0.73,0.56,21
2023-02-27,kettybot,PNT102213716164,20:50:E7:23:69:5C,Parmesan,2023-02-27 12:06:09,false,0.40,0.35,28
2023-02-27,bellabot,SV1000214017033,20:50:E7:02:FD:36,Soft-servis,2023-02-27 09:29:38,false,0.01,0.01,1
2023-02-27,bellabot,SV1114223233002,20:50:E7:02:C0:F2,Soft-servis,2023-02-27 08:01:31,false,1.47,1.38,37
2023-02-27,bellabot,SV1000212652005,20:50:E7:23:B4:80,Sber Univercity,2023-02-26 16:50:55,false,7.65,1.17,53
2023-02-26,bellabot,620019240060415,20:50:E7:02:24:2A,Parmesan,2023-02-25 21:29:19,false,3.01,2.00,146
2023-02-26,bellabot,sv1000214017022,20:50:E7:02:EB:56,Компот,2023-02-26 09:52:24,false,1.63,1.31,127
2023-02-26,bellabot,sv1114223233003,20:50:E7:39:7C:16,Soft-Stend,2023-02-26 05:27:28,false,2.04,2.35,77
2023-02-26,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,Soft-Stend,2023-02-25 22:46:41,false,1.72,1.20,134
2023-02-26,bellabot,SV1000212910001,20:50:E7:23:3D:AA,Soft-servis,2023-02-26 05:18:07,false,1.20,1.12,104
2023-02-26,bellabot,SV1000213954003,20:50:E7:02:87:DA,Soft-servis,2023-02-26 00:07:08,false,0.38,0.35,30
