Active Rank,Store name,Creation time,Active Robot,Bind the robot,Run time(h),Running Mileage(km),Number of tasks
1,Ресторан ГрильХаус,2022-08-10 02:42:54,2,1,10.94,11.21,713
2,Baltiya Hotel,2022-02-03 06:23:56,1,1,232.98,0.38,143
3,Sber Univercity,2022-01-14 05:23:26,1,1,159.65,20.36,884
4,Фанджамп Екатеринбург,2022-04-19 06:50:34,1,1,52.01,60.95,1262
5,Firemakers,2021-11-16 17:18:24,1,1,46.67,51.25,3546
6,Parmesan,2022-01-17 06:47:02,3,3,125.79,81.87,5835
7,Fun Jump,2022-02-02 11:07:07,1,1,40.70,44.25,1432
8,Компот,2022-04-20 05:52:08,1,1,33.03,24.23,2401
9,Fun Jump Kazan,2022-08-04 05:46:05,1,1,31.54,20.24,1087
10,Perchini,2021-12-15 21:51:40,1,1,26.94,27.41,1434
11,Neo,2021-11-25 12:08:03,1,1,18.58,11.70,1471
12,Агрокомплекс,2022-10-16 10:38:02,2,2,30.97,35.66,96
13,Динозаврия,2022-09-05 02:07:21,2,2,30.42,21.51,893
14,Jango Park,2021-12-27 09:45:59,1,1,9.78,8.63,365
15,АРТ-Премиум,2022-06-10 05:40:41,1,1,3.79,2.77,270
16,Velich,2021-12-08 16:42:06,1,1,3.26,3.59,219
17,Chajhana hariba,2022-02-06 07:59:47,1,1,1.43,2.39,38
18,Чайхана PLOV,2022-03-05 05:35:17,1,1,0.76,0.73,34
19,Soft-Stend,2022-10-05 06:35:29,5,6,64.85,44.86,2978
20,Gastreet_panorama,2021-05-31 15:00:41,4,5,61.06,64.87,1804
21,Soft-servis,2021-02-05 18:00:44,7,12,164.21,189.90,4700
22,Санаторий Заполярье,2022-07-07 07:05:58,1,3,62.98,10.62,50
23,Flagman office,2021-09-30 17:54:31,1,3,9.59,9.73,535
24,IDMClinic,2023-02-14 04:41:15,0,0,0.00,0.00,0
25,Fun-Day,2022-12-30 10:46:27,0,0,0.00,0.00,0
26,SMS,2022-10-28 07:58:44,0,1,0.00,0.00,0
27,Грильвет,2022-10-16 10:27:16,0,0,0.00,0.00,0
28,АРТ-Премиум,2022-06-10 04:46:25,0,0,0.00,0.00,0
29,Shtof,2021-12-08 16:02:44,0,1,0.00,0.00,0
