Time,Store name,Product name,PID,robotMAC,Activated on,unbound,Running Mileage(km),Runtime(h),Number of delivery tables,Number of plates delivered
2023-02-28,Fun Jump Kazan,bellabot,sv1000213943015,20:50:E7:23:95:7C,2022-08-04 05:52:44,false,0.18,0.22,7,8
2023-02-28,Gastreet_panorama,bellabot,620015050070163,D4:12:43:B1:02:2C,2021-05-30 16:00:00,false,0.76,0.55,17,17
2023-02-28,Soft-servis,bellabot,SV1000212910001,20:50:E7:23:3D:AA,2021-09-14 10:48:45,false,0.44,0.65,52,43
2023-02-28,Parmesan,bellabot,Sv1000214017008,20:50:E7:23:83:6A,2022-01-17 06:49:56,false,0.79,0.95,53,53
2023-02-28,Динозаврия,bellabot,SV1000214017001,20:50:E7:02:7F:10,2022-09-05 02:10:39,false,0.35,0.61,15,23
2023-02-28,Flagman office,bellabot,SV1000212910013,20:50:E7:23:79:E8,2021-10-04 07:50:41,false,0.14,0.14,7,7
2023-02-28,Jango Park,bellabot,SV1000214017031,20:50:E7:03:06:3A,2021-12-30 08:37:16,false,0.22,0.31,14,14
2023-02-28,Gastreet_panorama,bellabot,SV1000211931012,D4:12:43:B0:D5:68,2021-05-30 16:00:00,false,0.22,0.17,9,9
2023-02-28,Fun Jump,bellabot,SV1000214017015,20:50:E7:02:E4:50,2022-02-02 11:11:06,false,0.09,0.18,8,8
2023-02-28,Parmesan,bellabot,620019240060415,20:50:E7:02:24:2A,2022-01-21 06:58:37,false,0.75,1.24,55,55
2023-02-28,Soft-Stend,bellabot,sv1114223233003,20:50:E7:39:7C:16,2022-10-05 07:15:36,false,0.36,0.46,20,20
2023-02-28,Ресторан ГрильХаус,bellabot,SV1000213954014,20:50:E7:23:71:74,2022-08-10 02:48:17,false,0.09,0.14,6,6
2023-02-28,Soft-servis,bellabot,SV1114223233002,20:50:E7:02:C0:F2,2022-11-25 16:38:23,false,0.79,0.84,18,18
2023-02-28,Sber Univercity,bellabot,SV1000212652005,20:50:E7:23:B4:80,2022-01-14 05:58:35,false,0.62,5.70,21,22
2023-02-28,Фанджамп Екатеринбург,bellabot,sv1000214017014,20:50:E7:02:EB:0A,2022-04-19 06:53:38,false,1.33,1.15,31,41
2023-02-28,Perchini,bellabot,620019270070278,20:50:E7:02:FD:68,2021-12-15 21:57:50,false,0.83,0.80,46,46
2023-02-28,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.01,0.05,4,4
2023-02-28,Firemakers,bellabot,SV1001205116386,D4:12:43:BF:63:8E,2021-11-22 09:15:51,false,1.02,1.10,125,125
2023-02-28,Soft-Stend,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,2022-10-05 08:05:24,false,0.06,0.43,21,21
2023-02-28,Soft-servis,bellabot,SV1000213954003,20:50:E7:02:87:DA,2022-04-25 05:25:47,false,0.10,0.08,5,5
2023-02-28,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.54,0.51,40,40
2023-02-28,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.26,0.40,32,29
2023-02-28,Компот,bellabot,sv1000214017022,20:50:E7:02:EB:56,2022-04-26 23:06:13,false,0.47,1.01,51,51
2023-02-27,Fun Jump Kazan,bellabot,sv1000213943015,20:50:E7:23:95:7C,2022-08-04 05:52:44,false,0.37,0.59,15,22
2023-02-27,Parmesan,bellabot,620019240060415,20:50:E7:02:24:2A,2022-01-21 06:58:37,false,0.44,0.92,30,30
2023-02-27,Фанджамп Екатеринбург,bellabot,sv1000214017014,20:50:E7:02:EB:0A,2022-04-19 06:53:38,false,0.91,0.62,17,27
2023-02-27,Динозаврия,bellabot,SV1000214017001,20:50:E7:02:7F:10,2022-09-05 02:10:39,false,0.46,0.61,17,20
2023-02-27,Flagman office,bellabot,SV1000212910013,20:50:E7:23:79:E8,2021-10-04 07:50:41,false,0.08,0.11,3,3
2023-02-27,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.27,0.41,34,30
2023-02-27,Fun Jump,bellabot,SV1000214017015,20:50:E7:02:E4:50,2022-02-02 11:11:06,false,0.49,0.85,13,13
2023-02-27,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.01,0.04,4,4
2023-02-27,Soft-Stend,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,2022-10-05 08:05:24,false,0.12,0.56,32,32
2023-02-27,Perchini,bellabot,620019270070278,20:50:E7:02:FD:68,2021-12-15 21:57:50,false,0.86,0.80,45,45
2023-02-27,Parmesan,bellabot,Sv1000214017008,20:50:E7:23:83:6A,2022-01-17 06:49:56,false,0.63,2.40,43,43
2023-02-27,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.35,0.40,28,28
2023-02-27,Firemakers,bellabot,SV1001205116386,D4:12:43:BF:63:8E,2021-11-22 09:15:51,false,0.62,0.62,57,57
2023-02-27,Soft-servis,bellabot,SV1000213954003,20:50:E7:02:87:DA,2022-04-25 05:25:47,false,0.18,0.39,14,14
2023-02-27,Компот,bellabot,sv1000214017022,20:50:E7:02:EB:56,2022-04-26 23:06:13,false,0.54,0.90,47,47
2023-02-27,Gastreet_panorama,bellabot,620015050070163,D4:12:43:B1:02:2C,2021-05-30 16:00:00,false,1.14,0.93,21,23
2023-02-27,Jango Park,bellabot,SV1000214017031,20:50:E7:03:06:3A,2021-12-30 08:37:16,false,0.11,0.16,5,5
2023-02-27,Soft-servis,bellabot,SV1114223233002,20:50:E7:02:C0:F2,2022-11-25 16:38:23,false,1.10,1.08,24,24
2023-02-27,Soft-Stend,bellabot,sv1114223233003,20:50:E7:39:7C:16,2022-10-05 07:15:36,false,0.57,0.52,16,16
2023-02-27,Sber Univercity,bellabot,SV1000212652005,20:50:E7:23:B4:80,2022-01-14 05:58:35,false,1.17,7.65,54,54
2023-02-27,Gastreet_panorama,bellabot,SV1000211931012,D4:12:43:B0:D5:68,2021-05-30 16:00:00,false,0.06,0.07,3,3
2023-02-27,Ресторан ГрильХаус,bellabot,SV1000213954014,20:50:E7:23:71:74,2022-08-10 02:48:17,false,0.19,0.19,12,12
2023-02-27,Soft-servis,bellabot,SV1000212910001,20:50:E7:23:3D:AA,2021-09-14 10:48:45,false,0.37,0.48,49,33
2023-02-26,Soft-servis,bellabot,SV1114223233002,20:50:E7:02:C0:F2,2022-11-25 16:38:23,false,1.61,1.58,33,33
2023-02-26,Чайхана PLOV,bellabot,sv1000213943034,20:50:E7:23:56:70,2022-03-05 05:38:04,false,0.06,0.05,2,2
2023-02-26,Gastreet_panorama,bellabot,620015050070163,D4:12:43:B1:02:2C,2021-05-30 16:00:00,false,2.25,1.76,44,44
2023-02-26,Компот,bellabot,sv1000214017022,20:50:E7:02:EB:56,2022-04-26 23:06:13,false,0.64,1.02,71,71
2023-02-26,Soft-servis,bellabot,SV1000212910001,20:50:E7:23:3D:AA,2021-09-14 10:48:45,false,0.59,0.77,68,53
2023-02-26,Soft-servis,bellabot,SV1000213954003,20:50:E7:02:87:DA,2022-04-25 05:25:47,false,0.08,0.13,6,6
2023-02-26,Sber Univercity,bellabot,SV1000212652005,20:50:E7:23:B4:80,2022-01-14 05:58:35,false,1.00,8.67,24,24
2023-02-26,Фанджамп Екатеринбург,bellabot,sv1000214017014,20:50:E7:02:EB:0A,2022-04-19 06:53:38,false,1.87,1.66,43,75
2023-02-26,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.62,0.91,73,60
2023-02-26,Gastreet_panorama,bellabot,SV1000211931012,D4:12:43:B0:D5:68,2021-05-30 16:00:00,false,0.11,1.31,6,6
2023-02-26,Soft-Stend,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,2022-10-05 08:05:24,false,0.67,1.21,82,82
2023-02-26,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.55,0.71,46,46
2023-02-26,Soft-Stend,bellabot,sv1114223233003,20:50:E7:39:7C:16,2022-10-05 07:15:36,false,1.19,1.33,49,49
2023-02-26,Firemakers,bellabot,SV1001205116386,D4:12:43:BF:63:8E,2021-11-22 09:15:51,false,0.68,0.78,56,56
2023-02-26,Ресторан ГрильХаус,bellabot,SV1000213954014,20:50:E7:23:71:74,2022-08-10 02:48:17,false,0.25,0.24,16,16
2023-02-26,Flagman office,bellabot,SV1000212910013,20:50:E7:23:79:E8,2021-10-04 07:50:41,false,0.10,0.12,5,5
2023-02-26,Fun Jump Kazan,bellabot,sv1000213943015,20:50:E7:23:95:7C,2022-08-04 05:52:44,false,0.55,1.14,21,27
2023-02-26,Parmesan,bellabot,620019240060415,20:50:E7:02:24:2A,2022-01-21 06:58:37,false,1.13,2.33,92,92
2023-02-26,Fun Jump,bellabot,SV1000214017015,20:50:E7:02:E4:50,2022-02-02 11:11:06,false,0.57,0.70,43,43
2023-02-26,Perchini,bellabot,620019270070278,20:50:E7:02:FD:68,2021-12-15 21:57:50,false,0.85,0.85,41,41
2023-02-26,Динозаврия,bellabot,SV1000214017001,20:50:E7:02:7F:10,2022-09-05 02:10:39,false,1.47,1.53,53,78
2023-02-26,Jango Park,bellabot,SV1000214017031,20:50:E7:03:06:3A,2021-12-30 08:37:16,false,0.05,0.11,3,3
2023-02-26,Parmesan,bellabot,Sv1000214017008,20:50:E7:23:83:6A,2022-01-17 06:49:56,false,0.80,1.27,63,63
2023-02-26,Velich,bellabot,SV1000211931010,D4:12:43:B0:E7:9A,2021-12-08 10:32:28,false,0.05,0.05,3,3
2023-02-25,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.90,1.40,113,97
2023-02-25,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.65,0.68,51,51
2023-02-25,Firemakers,bellabot,SV1001205116386,D4:12:43:BF:63:8E,2021-11-22 09:15:51,false,1.49,1.80,163,163
2023-02-25,Soft-Stend,bellabot,sv1114223233003,20:50:E7:39:7C:16,2022-10-05 07:15:36,false,1.04,1.57,49,49
2023-02-25,Velich,bellabot,SV1000211931010,D4:12:43:B0:E7:9A,2021-12-08 10:32:28,false,0.49,0.42,26,27
2023-02-25,Sber Univercity,bellabot,SV1000212652005,20:50:E7:23:B4:80,2022-01-14 05:58:35,false,1.28,8.34,41,41
2023-02-25,Flagman office,bellabot,SV1000212910013,20:50:E7:23:79:E8,2021-10-04 07:50:41,false,0.36,0.42,15,15
2023-02-25,Soft-servis,bellabot,SV1000212910001,20:50:E7:23:3D:AA,2021-09-14 10:48:45,false,0.65,0.81,67,59
2023-02-25,Fun Jump Kazan,bellabot,sv1000213943015,20:50:E7:23:95:7C,2022-08-04 05:52:44,false,0.62,1.42,30,33
2023-02-25,Parmesan,bellabot,Sv1000214017008,20:50:E7:23:83:6A,2022-01-17 06:49:56,false,0.66,1.02,48,48
2023-02-25,Динозаврия,bellabot,SV1000214017001,20:50:E7:02:7F:10,2022-09-05 02:10:39,false,0.98,1.41,31,66
2023-02-25,Фанджамп Екатеринбург,bellabot,sv1000214017014,20:50:E7:02:EB:0A,2022-04-19 06:53:38,false,2.66,2.09,54,91
2023-02-25,Gastreet_panorama,bellabot,SV1000211931012,D4:12:43:B0:D5:68,2021-05-30 16:00:00,false,0.02,0.09,2,2
2023-02-25,Perchini,bellabot,620019270070278,20:50:E7:02:FD:68,2021-12-15 21:57:50,false,0.99,1.08,55,56
2023-02-25,Soft-Stend,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,2022-10-05 08:05:24,false,0.61,1.36,89,89
2023-02-25,Jango Park,bellabot,SV1000214017031,20:50:E7:03:06:3A,2021-12-30 08:37:16,false,0.16,0.23,9,9
2023-02-25,Soft-servis,bellabot,SV1114223233002,20:50:E7:02:C0:F2,2022-11-25 16:38:23,false,2.44,2.63,56,57
2023-02-25,Компот,bellabot,sv1000214017022,20:50:E7:02:EB:56,2022-04-26 23:06:13,false,0.78,1.51,104,104
2023-02-25,Parmesan,bellabot,620019240060415,20:50:E7:02:24:2A,2022-01-21 06:58:37,false,1.19,2.73,101,101
2023-02-25,Soft-servis,bellabot,SV1000213954003,20:50:E7:02:87:DA,2022-04-25 05:25:47,false,0.40,0.89,29,29
2023-02-25,Gastreet_panorama,bellabot,620015050070163,D4:12:43:B1:02:2C,2021-05-30 16:00:00,false,2.42,2.10,55,56
2023-02-25,Fun Jump,bellabot,SV1000214017015,20:50:E7:02:E4:50,2022-02-02 11:11:06,false,1.40,1.67,58,58
2023-02-25,Ресторан ГрильХаус,bellabot,SV1000213954014,20:50:E7:23:71:74,2022-08-10 02:48:17,false,0.33,0.74,18,18
2023-02-24,Gastreet_panorama,bellabot,SV1000211931012,D4:12:43:B0:D5:68,2021-05-30 16:00:00,false,0.27,0.50,11,11
2023-02-24,АРТ-Премиум,bellabot,SV1000214017013,20:50:E7:02:BF:E8,2022-06-10 05:42:57,false,0.19,0.24,10,10
2023-02-24,Velich,bellabot,SV1000211931010,D4:12:43:B0:E7:9A,2021-12-08 10:32:28,false,0.42,0.38,23,23
2023-02-24,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.75,0.70,53,53
2023-02-24,Soft-Stend,bellabot,sv1114223233003,20:50:E7:39:7C:16,2022-10-05 07:15:36,false,1.20,1.73,52,52
2023-02-24,Soft-Stend,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,2022-10-05 08:05:24,false,0.59,1.56,71,71
2023-02-24,Чайхана PLOV,bellabot,sv1000213943034,20:50:E7:23:56:70,2022-03-05 05:38:04,false,0.01,0.02,1,1
2023-02-24,Soft-servis,bellabot,SV1000213954003,20:50:E7:02:87:DA,2022-04-25 05:25:47,false,0.21,0.32,13,13
2023-02-24,Sber Univercity,bellabot,SV1000212652005,20:50:E7:23:B4:80,2022-01-14 05:58:35,false,1.52,10.24,45,45
2023-02-24,Fun Jump Kazan,bellabot,sv1000213943015,20:50:E7:23:95:7C,2022-08-04 05:52:44,false,1.24,1.52,50,64
2023-02-24,Динозаврия,bellabot,SV1000214017001,20:50:E7:02:7F:10,2022-09-05 02:10:39,false,0.70,0.75,21,47
2023-02-24,Gastreet_panorama,bellabot,620015050070163,D4:12:43:B1:02:2C,2021-05-30 16:00:00,false,2.30,2.35,48,49
2023-02-24,Soft-servis,bellabot,SV1000212910001,20:50:E7:23:3D:AA,2021-09-14 10:48:45,false,0.63,0.96,88,64
2023-02-24,Parmesan,bellabot,Sv1000214017008,20:50:E7:23:83:6A,2022-01-17 06:49:56,false,0.59,1.14,36,36
2023-02-24,Fun Jump,bellabot,SV1000214017015,20:50:E7:02:E4:50,2022-02-02 11:11:06,false,1.37,1.51,48,48
2023-02-24,Soft-servis,bellabot,SV1000214017012,D4:12:43:C3:87:66,2022-03-05 08:05:46,false,0.05,0.09,4,4
2023-02-24,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.64,1.43,92,82
2023-02-24,Perchini,bellabot,620019270070278,20:50:E7:02:FD:68,2021-12-15 21:57:50,false,1.07,1.08,51,51
2023-02-24,Компот,bellabot,sv1000214017022,20:50:E7:02:EB:56,2022-04-26 23:06:13,false,0.89,1.53,105,105
2023-02-24,Parmesan,bellabot,620019240060415,20:50:E7:02:24:2A,2022-01-21 06:58:37,false,0.99,4.01,80,80
2023-02-24,Soft-servis,bellabot,SV1114223233002,20:50:E7:02:C0:F2,2022-11-25 16:38:23,false,3.23,2.62,56,66
2023-02-24,Jango Park,bellabot,SV1000214017031,20:50:E7:03:06:3A,2021-12-30 08:37:16,false,0.19,0.38,7,7
2023-02-24,Flagman office,bellabot,SV1000212910013,20:50:E7:23:79:E8,2021-10-04 07:50:41,false,0.15,0.21,11,11
2023-02-24,Фанджамп Екатеринбург,bellabot,sv1000214017014,20:50:E7:02:EB:0A,2022-04-19 06:53:38,false,2.94,2.35,61,97
2023-02-24,Ресторан ГрильХаус,bellabot,SV1000213954014,20:50:E7:23:71:74,2022-08-10 02:48:17,false,0.35,0.35,19,19
2023-02-24,Firemakers,bellabot,SV1001205116386,D4:12:43:BF:63:8E,2021-11-22 09:15:51,false,1.10,1.60,92,92
2023-02-23,Чайхана PLOV,bellabot,sv1000213943034,20:50:E7:23:56:70,2022-03-05 05:38:04,false,0.08,0.07,3,3
2023-02-23,Soft-servis,bellabot,SV1000213954003,20:50:E7:02:87:DA,2022-04-25 05:25:47,false,0.26,0.28,20,20
2023-02-23,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.69,1.10,91,77
2023-02-23,Perchini,bellabot,620019270070278,20:50:E7:02:FD:68,2021-12-15 21:57:50,false,1.35,1.32,72,72
2023-02-23,Soft-servis,bellabot,SV1114223233002,20:50:E7:02:C0:F2,2022-11-25 16:38:23,false,2.10,2.30,34,35
2023-02-23,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.84,0.99,76,76
2023-02-23,Фанджамп Екатеринбург,bellabot,sv1000214017014,20:50:E7:02:EB:0A,2022-04-19 06:53:38,false,2.55,2.32,64,99
2023-02-23,Gastreet_panorama,bellabot,620015050070163,D4:12:43:B1:02:2C,2021-05-30 16:00:00,false,2.29,1.88,49,53
2023-02-23,Gastreet_panorama,bellabot,SV1000211931012,D4:12:43:B0:D5:68,2021-05-30 16:00:00,false,0.14,0.29,4,4
2023-02-23,Jango Park,bellabot,SV1000214017031,20:50:E7:03:06:3A,2021-12-30 08:37:16,false,0.23,0.34,11,11
2023-02-23,Soft-Stend,bellabot,sv1114223233003,20:50:E7:39:7C:16,2022-10-05 07:15:36,false,0.94,2.67,52,52
2023-02-23,Parmesan,bellabot,Sv1000214017008,20:50:E7:23:83:6A,2022-01-17 06:49:56,false,1.02,1.34,54,54
2023-02-23,Soft-Stend,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,2022-10-05 08:05:24,false,0.69,1.82,95,95
2023-02-23,Динозаврия,bellabot,SV1000214017001,20:50:E7:02:7F:10,2022-09-05 02:10:39,false,0.30,0.30,14,18
2023-02-23,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0.01,2,2
2023-02-23,Fun Jump,bellabot,SV1000214017015,20:50:E7:02:E4:50,2022-02-02 11:11:06,false,1.56,1.81,44,44
2023-02-23,Sber Univercity,bellabot,SV1000212652005,20:50:E7:23:B4:80,2022-01-14 05:58:35,false,1.02,6.65,56,56
2023-02-23,Firemakers,bellabot,SV1001205116386,D4:12:43:BF:63:8E,2021-11-22 09:15:51,false,0.86,1.46,95,95
2023-02-23,Компот,bellabot,sv1000214017022,20:50:E7:02:EB:56,2022-04-26 23:06:13,false,0.54,1.04,66,66
2023-02-23,Ресторан ГрильХаус,bellabot,SV1000213954014,20:50:E7:23:71:74,2022-08-10 02:48:17,false,0.37,0.40,27,27
2023-02-23,Velich,bellabot,SV1000211931010,D4:12:43:B0:E7:9A,2021-12-08 10:32:28,false,0.10,0.12,7,7
2023-02-23,Parmesan,bellabot,620019240060415,20:50:E7:02:24:2A,2022-01-21 06:58:37,false,0.92,3.72,81,81
2023-02-23,Fun Jump Kazan,bellabot,sv1000213943015,20:50:E7:23:95:7C,2022-08-04 05:52:44,false,0.49,0.69,19,40
2023-02-23,Soft-servis,bellabot,SV1000212910001,20:50:E7:23:3D:AA,2021-09-14 10:48:45,false,0.92,1.60,136,91
2023-02-23,Flagman office,bellabot,SV1000212910013,20:50:E7:23:79:E8,2021-10-04 07:50:41,false,0.17,0.18,8,8
2023-02-23,АРТ-Премиум,bellabot,SV1000214017013,20:50:E7:02:BF:E8,2022-06-10 05:42:57,false,0.03,0.04,2,2
2023-02-22,Soft-Stend,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,2022-10-05 08:05:24,false,0.13,1.04,37,37
2023-02-22,Sber Univercity,bellabot,SV1000212652005,20:50:E7:23:B4:80,2022-01-14 05:58:35,false,0.23,3.91,12,12
2023-02-22,Фанджамп Екатеринбург,bellabot,sv1000214017014,20:50:E7:02:EB:0A,2022-04-19 06:53:38,false,1.29,1.33,25,51
2023-02-22,Fun Jump,bellabot,SV1000214017015,20:50:E7:02:E4:50,2022-02-02 11:11:06,false,1.04,1.14,33,33
2023-02-22,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.41,0.46,38,38
2023-02-22,Soft-servis,kettybot,PNT102213716165,20:50:E7:02:36:E0,2023-01-17 14:08:17,false,0.40,0.51,27,27
2023-02-22,Soft-Stend,bellabot,SV111422323005,20:50:E7:40:1B:AA,2022-10-05 08:29:47,false,0.12,0.25,25,25
2023-02-22,Fun Jump Kazan,bellabot,sv1000213943015,20:50:E7:23:95:7C,2022-08-04 05:52:44,false,0.48,0.52,13,18
2023-02-22,Soft-servis,bellabot,SV1000213954003,20:50:E7:02:87:DA,2022-04-25 05:25:47,false,0.10,0.13,5,5
