Time,Store name,Product name,PID,robotMAC,Activated on,unbound,[Take me into the store] Number of clicks,[featured item] number of clicks,[Promotions] Clicks,[Escorting] Clicks,[Poster] Clicks,[Lead the way] Clicks,[Dance] Clicks,[Video Poster] Clicks
2023-02-28,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,2,0,0,0,0,0
2023-02-27,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,0,0,0,0,0,4,0
2023-02-26,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,3,2,5,0,1,0,2,0
2023-02-24,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,12,6,5,0,3,0,11,0
2023-02-22,Soft-servis,kettybot,PNT102213716165,20:50:E7:02:36:E0,2023-01-17 14:08:17,false,0,9,0,0,0,0,62,0
2023-02-21,Soft-servis,kettybot,PNT102213716165,20:50:E7:02:36:E0,2023-01-17 14:08:17,false,0,1,0,0,0,0,0,0
2023-02-21,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,3,2,3,0,2,0,5,0
2023-02-17,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,2,3,1,0,0,0,5,0
2023-02-15,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,3,2,0,0,0,1,0
2023-02-14,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,1,0,0,0,0,2,0
2023-02-13,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,7,1,0,0,0,11,0
2023-02-12,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,0,0,0,0,1,0
2023-02-11,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,1,1,1,0,0,0,0,0
2023-02-11,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,1,0,0,0,0,0
2023-02-10,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,1,0,0,0,0,3,0
2023-02-09,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,3,0,0,0,0,0,4,0
2023-02-08,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,0,0,0,0,0,2,0
2023-02-07,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,0,2,0,0,0,2,0
2023-02-06,Агрокомплекс,kettybot,PNT102213716166,20:50:E7:02:24:CE,2022-10-16 11:06:33,false,0,1,0,0,0,0,0,0
2023-02-06,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,3,11,9,0,2,0,32,0
2023-02-06,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,1,1,0,0,0,0,0,0
2023-02-05,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,12,14,14,0,7,0,76,0
2023-02-04,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,3,7,8,0,3,0,26,0
2023-02-03,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,2,1,2,0,0,0,12,0
2023-02-02,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,0,0,0,0,0,4,0
