Time,Store name,Product name,PID,robotMAC,Activated on,unbound,Interactive Visits,Number of voice interactions,Voice interaction time(h)
2023-02-28,Parmesan,bellabot,620019240060415,20:50:E7:02:24:2A,2022-01-21 06:58:37,false,16,0,0.00
2023-02-28,Soft-servis,bellabot,SV1000212910001,20:50:E7:23:3D:AA,2021-09-14 10:48:45,false,5,0,0.00
2023-02-28,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,0.00
2023-02-28,Jango Park,bellabot,SV1000214017031,20:50:E7:03:06:3A,2021-12-30 08:37:16,false,3,0,0.00
2023-02-28,Компот,bellabot,sv1000214017022,20:50:E7:02:EB:56,2022-04-26 23:06:13,false,5,0,0.00
2023-02-28,Soft-Stend,bellabot,sv1114223233003,20:50:E7:39:7C:16,2022-10-05 07:15:36,false,24,0,0.00
2023-02-28,Fun Jump,bellabot,SV1000214017015,20:50:E7:02:E4:50,2022-02-02 11:11:06,false,14,0,0.00
2023-02-28,Ресторан ГрильХаус,bellabot,SV1000213954014,20:50:E7:23:71:74,2022-08-10 02:48:17,false,2,0,0.00
2023-02-28,Firemakers,bellabot,SV1001205116386,D4:12:43:BF:63:8E,2021-11-22 09:15:51,false,78,0,0.00
2023-02-28,Parmesan,bellabot,Sv1000214017008,20:50:E7:23:83:6A,2022-01-17 06:49:56,false,32,1,0.00
2023-02-27,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,0.00
2023-02-27,Soft-Stend,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,2022-10-05 08:05:24,false,4,0,0.00
2023-02-27,Ресторан ГрильХаус,bellabot,SV1000213954014,20:50:E7:23:71:74,2022-08-10 02:48:17,false,6,0,0.00
2023-02-27,Jango Park,bellabot,SV1000214017031,20:50:E7:03:06:3A,2021-12-30 08:37:16,false,22,0,0.00
2023-02-27,Компот,bellabot,sv1000214017022,20:50:E7:02:EB:56,2022-04-26 23:06:13,false,9,0,0.00
2023-02-27,Parmesan,bellabot,Sv1000214017008,20:50:E7:23:83:6A,2022-01-17 06:49:56,false,18,1,0.00
2023-02-27,Soft-Stend,bellabot,sv1114223233003,20:50:E7:39:7C:16,2022-10-05 07:15:36,false,9,0,0.00
2023-02-27,Parmesan,bellabot,620019240060415,20:50:E7:02:24:2A,2022-01-21 06:58:37,false,8,1,0.00
2023-02-27,Firemakers,bellabot,SV1001205116386,D4:12:43:BF:63:8E,2021-11-22 09:15:51,false,28,0,0.00
2023-02-27,Soft-servis,bellabot,SV1000212910001,20:50:E7:23:3D:AA,2021-09-14 10:48:45,false,16,0,0.00
2023-02-27,Fun Jump,bellabot,SV1000214017015,20:50:E7:02:E4:50,2022-02-02 11:11:06,false,3,0,0.00
2023-02-26,Parmesan,bellabot,620019240060415,20:50:E7:02:24:2A,2022-01-21 06:58:37,false,57,1,0.00
2023-02-26,Firemakers,bellabot,SV1001205116386,D4:12:43:BF:63:8E,2021-11-22 09:15:51,false,24,0,0.00
2023-02-26,Soft-Stend,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,2022-10-05 08:05:24,false,11,0,0.00
2023-02-26,Soft-Stend,bellabot,sv1114223233003,20:50:E7:39:7C:16,2022-10-05 07:15:36,false,15,0,0.00
2023-02-26,Parmesan,bellabot,Sv1000214017008,20:50:E7:23:83:6A,2022-01-17 06:49:56,false,96,0,0.00
2023-02-26,Jango Park,bellabot,SV1000214017031,20:50:E7:03:06:3A,2021-12-30 08:37:16,false,1,0,0.00
2023-02-26,Fun Jump,bellabot,SV1000214017015,20:50:E7:02:E4:50,2022-02-02 11:11:06,false,34,0,0.00
2023-02-26,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,0.00
