Time,Store name,Product name,PID,robotMAC,Activated on,unbound,Runtime(h),Number of greetings,reached people,Attract people,Interactive Visits
2023-02-28,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,10.88,0,376,267,0
2023-02-27,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,11.85,0,916,493,0
2023-02-26,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,7.73,0,552,294,0
2023-02-24,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,11.57,0,903,606,0
2023-02-23,Soft-servis,kettybot,PNT102213716165,20:50:E7:02:36:E0,2023-01-17 14:08:17,false,0.00,1,1,1,1
2023-02-22,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,9.41,0,669,680,0
2023-02-22,Soft-servis,kettybot,PNT102213716165,20:50:E7:02:36:E0,2023-01-17 14:08:17,false,0.28,39,66,23,34
2023-02-21,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,10.27,0,558,187,0
2023-02-21,Soft-servis,kettybot,PNT102213716165,20:50:E7:02:36:E0,2023-01-17 14:08:17,false,0.00,2,1,1,2
2023-02-17,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,19.21,0,557,529,0
2023-02-17,Soft-servis,bellabot,SV1000214017012,D4:12:43:C3:87:66,2022-03-05 08:05:46,false,0.00,0,0,0,0
2023-02-16,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,1,0,0
2023-02-15,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,8.31,0,470,280,0
2023-02-14,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,9.41,0,679,276,0
2023-02-13,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,13.25,0,965,386,0
2023-02-12,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,6.99,0,160,51,0
2023-02-11,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.10,23,22,10,4
2023-02-11,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,10.14,0,253,66,0
2023-02-10,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,10.10,0,193,259,0
2023-02-09,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,11.55,0,662,305,0
2023-02-08,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,11.18,0,578,287,0
2023-02-08,Soft-Stend,kettybot,PNT102213716171,20:50:E7:02:36:F8,2022-10-05 08:59:29,false,0.00,0,1,0,0
2023-02-07,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,12.39,0,792,339,0
2023-02-06,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,12.19,0,797,494,0
2023-02-06,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.02,3,5,3,3
2023-02-06,Агрокомплекс,kettybot,PNT102213716166,20:50:E7:02:24:CE,2022-10-16 11:06:33,false,0.30,0,57,0,0
2023-02-05,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,4.30,0,207,108,0
2023-02-04,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,12.25,0,508,188,0
2023-02-03,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,10.60,0,613,231,0
2023-02-02,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,6.83,0,142,130,0
2023-02-01,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,12.12,0,532,264,0
