Time,Product name,PID,robotMAC,Store,Start running time,unbound,Operating time (h),Running mileage (km),Number of tasks
2023-01-31,bellabot,620015050070163,D4:12:43:B1:02:2C,Gastreet_panorama,2023-01-31 03:51:37,false,0.64,0.76,20
2023-01-31,bellabot,SV1000213954014,20:50:E7:23:71:74,Ресторан ГрильХаус,2023-01-31 11:05:43,false,0.40,0.20,14
2023-01-31,bellabot,SV1000211931010,D4:12:43:B0:E7:9A,Velich,2023-01-31 00:28:59,false,0.02,0.02,2
2023-01-31,bellabot,sv1000214017022,20:50:E7:02:EB:56,Компот,2023-01-30 23:53:38,false,0.61,0.53,49
2023-01-31,kettybot,PNT102213716164,20:50:E7:23:69:5C,Parmesan,2023-01-31 00:06:37,false,0.39,0.41,33
2023-01-31,bellabot,SV1000214017001,20:50:E7:02:7F:10,Динозаврия,2023-01-31 09:00:48,false,1.49,1.02,32
2023-01-31,bellabot,sv1000213943034,20:50:E7:23:56:70,Чайхана PLOV,2023-01-31 00:13:19,false,0.28,0.28,12
2023-01-31,bellabot,620019240060415,20:50:E7:02:24:2A,Parmesan,2023-01-30 22:32:42,false,1.95,1.75,105
2023-01-31,bellabot,sv1000214017014,20:50:E7:02:EB:0A,Фанджамп Екатеринбург,2023-01-31 09:32:53,false,0.95,1.10,24
2023-01-31,bellabot,SV1000214017013,20:50:E7:02:BF:E8,АРТ-Премиум,2023-01-31 17:28:59,false,0.02,0.02,2
2023-01-31,kettybot,PNT102213716159,20:50:E7:23:96:70,Динозаврия,2023-01-31 14:27:45,false,0.04,0.02,3
2023-01-31,bellabot,SV1000214017015,20:50:E7:02:E4:50,Fun Jump,2023-01-31 15:03:56,false,1.43,1.77,69
2023-01-31,bellabot,SV1000211931009,D4:12:43:B0:F9:56,Gastreet_panorama,2023-01-31 14:26:57,false,0.05,0.06,4
2023-01-31,bellabot,620019270070278,20:50:E7:02:FD:68,Perchini,2023-01-31 09:56:28,false,0.56,0.58,48
2023-01-31,bellabot,sv1000213943015,20:50:E7:23:95:7C,Fun Jump Kazan,2023-01-31 11:13:19,false,0.28,0.10,6
2023-01-31,kettybot,PNT102213716158,20:50:E7:02:12:A8,Baltiya Hotel,2023-01-31 01:37:14,false,8.88,0.00,3
2023-01-31,pudubot,PD9152212113001,D4:12:43:C4:A3:AA,Gastreet_panorama,2023-01-31 09:54:46,false,0.59,0.42,23
2023-01-31,bellabot,SV1000211931012,D4:12:43:B0:D5:68,Gastreet_panorama,2023-01-31 00:18:36,false,0.19,0.22,12
2023-01-31,bellabot,SV1000212641025,D4:12:43:C3:D0:88,Chajhana hariba,2023-01-31 16:28:09,false,0.03,0.04,2
2023-01-31,kettybot,PNT102213716170,20:50:E7:02:F3:3E,Neo,2023-01-31 10:00:59,false,0.48,0.33,40
