Time,Store name,Product name,PID,robotMAC,Activated on,unbound,Running Mileage(km),Runtime(h),Interactive Visits,Interaction time(h)
2023-01-31,Gastreet_panorama,bellabot,SV1000211931012,D4:12:43:B0:D5:68,2021-05-30 16:00:00,false,0.13,0.10,0,0.00
2023-01-31,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,2.60,1.84,0,0.00
2023-01-30,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.40,0.29,0,0.00
2023-01-30,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.19,0.75,0,0.00
2023-01-29,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.02,0.02,0,0.00
2023-01-28,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.55,6.02,0,0.00
2023-01-28,Chajhana hariba,bellabot,SV1000212641025,D4:12:43:C3:D0:88,2022-02-06 22:49:35,false,0.17,0.12,0,0.00
2023-01-28,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,1.18,0.77,0,0.00
2023-01-27,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,2.03,4.83,0,0.00
2023-01-27,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.41,0.31,0,0.00
2023-01-27,SMS,kettybot,pnt102213716189,20:50:E7:23:BB:68,2022-10-28 16:06:10,false,4.04,2.23,11,0.03
2023-01-27,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,1.67,1.10,0,0.00
2023-01-27,Soft-Stend,bellabot,SV111422323005,20:50:E7:40:1B:AA,2022-10-05 08:29:47,false,0.04,0.03,0,0.00
2023-01-26,Soft-servis,kettybot,PNT102213716165,20:50:E7:02:36:E0,2023-01-17 14:08:17,false,0.23,0.17,0,0.00
2023-01-25,Soft-servis,kettybot,PNT102213716165,20:50:E7:02:36:E0,2023-01-17 14:08:17,false,0.24,0.26,0,0.00
2023-01-25,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,1.20,0.73,0,0.00
2023-01-25,Чайхана PLOV,bellabot,sv1000213943034,20:50:E7:23:56:70,2022-03-05 05:38:04,false,0.03,0.02,0,0.00
2023-01-25,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.99,6.09,0,0.00
2023-01-24,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.37,1.33,0,0.00
2023-01-24,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.64,0.42,0,0.00
2023-01-24,Фанджамп Екатеринбург,bellabot,sv1000214017014,20:50:E7:02:EB:0A,2022-04-19 06:53:38,false,0.01,0.01,0,0.00
2023-01-23,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,1.47,0.94,0,0.00
2023-01-23,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.45,1.01,0,0.00
2023-01-23,SMS,kettybot,pnt102213716189,20:50:E7:23:BB:68,2022-10-28 16:06:10,false,4.30,2.41,12,0.04
2023-01-22,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,2.56,1.62,0,0.00
2023-01-22,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,1.07,2.04,0,0.00
2023-01-22,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,1.29,0.85,0,0.00
2023-01-21,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,1.36,9.80,0,0.00
2023-01-21,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.80,0.54,0,0.00
2023-01-21,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.17,0.11,0,0.00
2023-01-20,SMS,kettybot,pnt102213716189,20:50:E7:23:BB:68,2022-10-28 16:06:10,false,8.55,4.82,11,0.04
2023-01-20,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,2.53,1.68,0,0.00
2023-01-20,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.57,2.63,0,0.00
2023-01-20,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,2.07,1.34,0,0.00
2023-01-19,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.00,0.00,0,0.00
2023-01-19,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,1.14,2.23,0,0.00
2023-01-19,Soft-servis,kettybot,PNT102213716165,20:50:E7:02:36:E0,2023-01-17 14:08:17,false,0.58,0.46,0,0.00
2023-01-19,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.93,0.63,0,0.00
2023-01-18,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,3.80,2.48,0,0.00
2023-01-18,Soft-servis,kettybot,PNT102213716165,20:50:E7:02:36:E0,2023-01-17 14:08:17,false,0.32,0.24,0,0.00
2023-01-18,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.17,0.11,0,0.00
2023-01-18,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,1.93,3.87,0,0.00
2023-01-18,Soft-Stend,bellabot,SV111422323005,20:50:E7:40:1B:AA,2022-10-05 08:29:47,false,0.11,0.11,0,0.00
2023-01-17,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,1.84,1.21,0,0.00
2023-01-17,Parmesan,bellabot,Sv1000214017008,20:50:E7:23:83:6A,2022-01-17 06:49:56,false,0.03,0.09,0,0.00
2023-01-17,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.84,3.51,0,0.00
2023-01-17,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.02,0.02,0,0.00
2023-01-17,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,1.71,1.15,0,0.00
2023-01-16,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.01,0.01,0,0.00
2023-01-16,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.00,0.00,0,0.00
2023-01-16,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,1.54,11.35,0,0.00
2023-01-16,Gastreet_panorama,bellabot,SV1000211931012,D4:12:43:B0:D5:68,2021-05-30 16:00:00,false,0.04,0.05,0,0.00
2023-01-15,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.29,0.22,0,0.00
2023-01-15,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,1.24,2.42,0,0.00
2023-01-15,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,1.58,0.98,0,0.00
2023-01-14,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.43,0.39,0,0.00
2023-01-14,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.74,1.44,0,0.00
2023-01-14,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,1.28,0.83,0,0.00
2023-01-13,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,1.28,6.56,0,0.00
2023-01-13,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.07,0.08,0,0.00
2023-01-13,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.56,0.36,0,0.00
2023-01-13,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.01,0.01,0,0.00
2023-01-12,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,9.01,5.28,0,0.00
2023-01-12,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,1.04,2.31,0,0.00
2023-01-11,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.36,0.78,0,0.00
2023-01-11,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.41,0.27,0,0.00
2023-01-10,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.92,1.85,0,0.00
2023-01-10,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,2.92,1.85,0,0.00
2023-01-09,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.09,0.07,0,0.00
2023-01-09,SMS,kettybot,pnt102213716189,20:50:E7:23:BB:68,2022-10-28 16:06:10,false,7.39,4.96,18,0.40
2023-01-09,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.68,1.41,0,0.00
2023-01-08,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,1.34,2.53,0,0.00
2023-01-08,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.43,0.30,0,0.00
2023-01-07,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.01,0.02,0,0.00
2023-01-07,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.53,1.18,0,0.00
2023-01-06,Jango Park,bellabot,SV1000214017031,20:50:E7:03:06:3A,2021-12-30 08:37:16,false,0.01,0.01,0,0.00
2023-01-06,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,2.26,4.17,0,0.00
2023-01-06,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.04,0.03,0,0.00
2023-01-05,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,2.38,1.55,0,0.00
2023-01-04,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,3.76,2.32,0,0.00
2023-01-04,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,2.02,2.94,0,0.00
2023-01-03,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,3.12,4.13,0,0.00
2023-01-02,Parmesan,bellabot,Sv1000214017008,20:50:E7:23:83:6A,2022-01-17 06:49:56,false,0.14,0.21,0,0.00
2023-01-02,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,2.97,4.77,0,0.00
2023-01-01,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,2.86,5.59,0,0.00
