Time,Store name,Product name,PID,robotMAC,Activated on,unbound,[Take me into the store] Number of clicks,[featured item] number of clicks,[Promotions] Clicks,[Escorting] Clicks,[Poster] Clicks,[Lead the way] Clicks,[Dance] Clicks,[Video Poster] Clicks
2023-01-31,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,0,0,0,0,4,0
2023-01-31,Soft-servis,kettybot,PNT102213716165,20:50:E7:02:36:E0,2023-01-17 14:08:17,false,0,2,0,0,0,0,1,0
2023-01-30,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,4,1,3,0,1,0,12,0
2023-01-29,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,0,0,0,0,0,0,0
2023-01-28,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,4,1,4,0,1,0,3,0
2023-01-27,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,1,1,0,2,0,2,0
2023-01-27,SMS,kettybot,pnt102213716189,20:50:E7:23:BB:68,2022-10-28 16:06:10,false,1,0,1,0,0,0,0,0
2023-01-26,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,2,2,0,0,0,4,0
2023-01-25,Soft-servis,kettybot,PNT102213716165,20:50:E7:02:36:E0,2023-01-17 14:08:17,false,0,2,0,0,0,0,1,0
2023-01-25,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,0,0,0,0,1,0
2023-01-23,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,0,0,0,0,3,0
2023-01-23,SMS,kettybot,pnt102213716189,20:50:E7:23:BB:68,2022-10-28 16:06:10,false,1,1,1,0,0,0,0,0
2023-01-22,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,0,0,0,0,0,3,0
2023-01-20,SMS,kettybot,pnt102213716189,20:50:E7:23:BB:68,2022-10-28 16:06:10,false,0,0,1,0,0,0,0,0
2023-01-20,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,0,0,0,0,0,1,0
2023-01-19,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,3,2,0,2,0,8,0
2023-01-18,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,1,0,0,0,2,0
2023-01-18,Soft-servis,kettybot,PNT102213716165,20:50:E7:02:36:E0,2023-01-17 14:08:17,false,0,0,0,0,0,0,1,0
2023-01-17,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,1,0,0,0,0,2,0
