Time,Store name,Product name,PID,robotMAC,Activated on,unbound,Runtime(h),Number of greetings,reached people,Attract people,Interactive Visits
2023-01-31,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,8.88,0,295,245,0
2023-01-31,Soft-servis,kettybot,PNT102213716165,20:50:E7:02:36:E0,2023-01-17 14:08:17,false,0.01,3,2,4,3
2023-01-30,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,7.38,0,590,570,0
2023-01-29,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1.68,0,8,41,0
2023-01-28,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,10.97,0,295,228,0
2023-01-27,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,6.64,0,364,173,0
2023-01-27,SMS,kettybot,pnt102213716189,20:50:E7:23:BB:68,2022-10-28 16:06:10,false,0.03,0,0,0,0
2023-01-26,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,8.53,182,518,243,5
2023-01-25,Soft-servis,kettybot,PNT102213716165,20:50:E7:02:36:E0,2023-01-17 14:08:17,false,0.02,4,3,2,4
2023-01-25,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,11.57,1823,622,207,21
2023-01-24,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,4.87,172,230,156,10
2023-01-23,SMS,kettybot,pnt102213716189,20:50:E7:23:BB:68,2022-10-28 16:06:10,false,0.03,0,0,0,0
2023-01-23,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,10.35,1222,706,307,28
2023-01-22,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,22.37,0,691,201,31
2023-01-21,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,1,0,1
2023-01-20,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,8.70,0,371,347,17
2023-01-20,SMS,kettybot,pnt102213716189,20:50:E7:23:BB:68,2022-10-28 16:06:10,false,0.04,0,0,0,0
2023-01-19,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,10.91,1530,518,93,31
2023-01-18,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,10.17,907,575,165,21
2023-01-18,Soft-servis,kettybot,PNT102213716165,20:50:E7:02:36:E0,2023-01-17 14:08:17,false,0.02,1,2,2,2
2023-01-17,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,8.64,1257,398,350,13
2023-01-16,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,9.97,1040,477,355,18
2023-01-16,SMS,kettybot,pnt102213716189,20:50:E7:23:BB:68,2022-10-28 16:06:10,false,0.02,0,1,0,0
2023-01-15,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,7.74,438,166,24,16
2023-01-15,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.16,0,26,16,10
2023-01-14,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,12.13,1594,403,92,22
2023-01-13,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,11.83,1234,453,171,18
2023-01-12,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,8.86,828,476,250,25
2023-01-11,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,9.04,706,470,195,31
2023-01-10,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,6.81,399,407,343,43
2023-01-09,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,8.93,1061,362,352,14
2023-01-09,SMS,kettybot,pnt102213716189,20:50:E7:23:BB:68,2022-10-28 16:06:10,false,0.40,0,0,0,0
2023-01-08,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,11.73,1512,264,346,17
2023-01-07,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,4.78,524,241,153,35
2023-01-06,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,9.02,1410,517,197,18
2023-01-05,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,10.29,1300,607,452,33
2023-01-04,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,11.22,1279,704,338,65
2023-01-03,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,12.11,1553,747,627,55
2023-01-02,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,11.64,1501,446,174,19
2023-01-01,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.41,56,59,29,13
2023-01-01,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.01,0,3,2,2
